,Species - Latin Name,Common Name,Address,Comments,Planting Season,Planting Year,Tree Care-taker,Nursery,Replacement tree,City,,,
43,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
44,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
45,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
46,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
47,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
48,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
49,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
50,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
51,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
52,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
53,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
54,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
55,Acer Rubrum 'Red Sunset',Red Sunset Maple,West Side Park,S. 17th Street side,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
56,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
57,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
58,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
59,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
60,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
61,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
62,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
63,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
64,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
65,Acer rubrum 'October Glory',October Glory Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
66,Acer saccharum 'Commemoration',Commemoration Sugar Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
67,Acer saccharum 'Commemoration',Commemoration Sugar Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
68,Acer saccharum 'Commemoration',Commemoration Sugar Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
69,Acer saccharum 'Commemoration',Commemoration Sugar Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
70,Acer saccharum 'Commemoration',Commemoration Sugar Maple,West Side Park,hill below tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
71,Quercus paulstris,Pin Oaks,West Side Park,next to tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
72,Quercus paulstris,Pin Oaks,West Side Park,next to tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
73,Quercus paulstris,Pin Oaks,West Side Park,next to tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
74,Quercus paulstris,Pin Oaks,West Side Park,next to tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
75,Quercus paulstris,Pin Oaks,West Side Park,next to tennis courts,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
76,Quercus rubra,Northern red oak,West Side Park,16th Ave side near s. 17th,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
77,Quercus rubra,Northern red oak,West Side Park,16th Ave side near s. 17th,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
78,Quercus rubra,Northern red oak,West Side Park,16th Ave side near s. 17th,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
79,Quercus rubra,Northern red oak,West Side Park,16th Ave side near s. 17th,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
80,Quercus rubra,Northern red oak,West Side Park,16th Ave side near s. 17th,Spring,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
81,Acer campestre,Hedge Maple,10 Fleetwood Place,,Spring,2007,Cee Cee Alford,Angelica Nurseries,,Newark,,,
82,Acer campestre,Hedge Maple,20-22 Fleetwood Place,,Spring,2007,Joseph Phillip,Angelica Nurseries,,Newark,,,
83,Halesia carolina,Silverbell,30 Fleetwood Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
84,Acer campestre,Hedge Maple,32 Fleetwood Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
85,Acer campestre,Hedge Maple,34 Fleetwood Place,,Spring,2007,Ms. Jenkins,Angelica Nurseries,,Newark,,,
86,Acer campestre,Hedge Maple,38 Fleetwood Place,,Spring,2007,G. Rozier,Angelica Nurseries,,Newark,,,
87,Acer campestre,Hedge Maple,40 Fleetwood Place,,Spring,2007,Mr. & Mrs. Clark,Angelica Nurseries,,Newark,,,
88,Acer campestre,Hedge Maple,222 Ellery Avenue,,Spring,2007,Vilene Finch,Angelica Nurseries,,Newark,,,
89,Acer campestre,Hedge Maple,222 Ellery Avenue,,Spring,2007,Vilene Finch,Angelica Nurseries,,Newark,,,
90,Acer campestre,Hedge Maple,37 Fleetwood Place,,Spring,2007,Francine DeBellonia,Angelica Nurseries,,Newark,,,
91,Acer campestre,Hedge Maple,33 Fleetwood Place,,Spring,2007,Mr. Herb Evans,Angelica Nurseries,,Newark,,,
92,Acer campestre,Hedge Maple,29 Fleetwood Place,,Spring,2007,Carolyn Brown,Angelica Nurseries,,Newark,,,
93,Acer campestre,Hedge Maple,27 Fleetwood Place,,Spring,2007,David & Trisha Jones,Angelica Nurseries,,Newark,,,
94,Acer campestre,Hedge Maple,23 Fleetwood Place,,Spring,2007,Frances Gboizo,Angelica Nurseries,,Newark,,,
95,Acer campestre,Hedge Maple,17 Fleetwood Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
96,Acer campestre,Hedge Maple,15 Fleetwood Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
97,Acer campestre,Hedge Maple,13 Fleetwood Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
98,Halesia carolina,Silverbell,97 Mountain View Place,,Spring,2007,Cecilia Gurst,Angelica Nurseries,,Newark,,,
99,Acer campestre,Hedge Maple,93 Mountain View Place,,Spring,2007,Nancy Chatman,Angelica Nurseries,,Newark,,,
100,Acer campestre,Hedge Maple,202 Stuyvesant Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
101,Halesia carolina,Silverbell,1015 18th Avenue,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
102,Acer campestre,Hedge Maple,991 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
103,Halesia carolina,Silverbell,985 18th Ave,,Spring,2007,Crossroads Rescue Mission,Angelica Nurseries,,Newark,,,
104,Halesia carolina,Silverbell,985 18th Ave,,Spring,2007,Crossroads Rescue Mission,Angelica Nurseries,,Newark,,,
105,Halesia carolina,Silverbell,210 Sunset Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
106,Acer campestre,Hedge Maple,210 Sunset Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
107,Halesia carolina,Silverbell,977 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
108,Acer campestre,Hedge Maple,975 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
109,Halesia carolina,Silverbell,207 Alexander Street,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
110,Acer campestre,Hedge Maple,961 18th Ave,,Spring,2007,New Alexander Car Wash,Angelica Nurseries,,Newark,,,
111,Halesia carolina,Silverbell,961 18th Ave,,Spring,2007,New Alexander Car Wash,Angelica Nurseries,,Newark,,,
112,Halesia carolina,Silverbell,949 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
113,Halesia carolina,Silverbell,217 West End Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
114,Halesia carolina,Silverbell,218 West End Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
115,Acer campestre,Hedge Maple,218 West End Ave,18th Ave side,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
116,Acer campestre,Hedge Maple,915 18th Ave,,Spring,2007,McDonald's,Angelica Nurseries,,Newark,,,
117,Halesia carolina,Silverbell,915 18th Ave,,Spring,2007,McDonald's,Angelica Nurseries,,Newark,,,
118,Halesia carolina,Silverbell,915 18th Ave,,Spring,2007,McDonald's,Angelica Nurseries,,Newark,,,
119,Halesia carolina,Silverbell,901-903 18th Ave,,Spring,2007,Beauty Supply Store,Angelica Nurseries,,Newark,,,
120,Acer campestre,Hedge Maple,990 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
121,Acer campestre,Hedge Maple,982 18th Ave,,Spring,2007,Pentecost Inspirational Baptist Church,Angelica Nurseries,,Newark,,,
122,Halesia carolina,Silverbell,980B 18th Ave,,Spring,2007,Dove Community Childcare,Angelica Nurseries,,Newark,,,
123,Acer campestre,Hedge Maple,974 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
124,Acer campestre,Hedge Maple,970 18th Ave,,Spring,2007,Lucky Chinese Kitchen,Angelica Nurseries,,Newark,,,
125,Acer campestre,Hedge Maple,962 18th Ave,,Spring,2007,77 Gas Station,Angelica Nurseries,,Newark,,,
126,Halesia carolina,Silverbell,954 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
127,Halesia carolina,Silverbell,952 18th Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
128,Acer campestre,Hedge Maple,942 18th Ave,,Spring,2007,Stepping Stones International,Angelica Nurseries,,Newark,,,
129,Halesia carolina,Silverbell,928 18th Ave,,Spring,2007,Living Water Church,Angelica Nurseries,,Newark,,,
130,Acer campestre,Hedge Maple,900 18th Ave,,Spring,2007,Super Value Sipermarket,Angelica Nurseries,,Newark,,,
131,Halesia carolina,Silverbell,900 18th Ave,,Spring,2007,Super Value Sipermarket,Angelica Nurseries,,Newark,,,
132,Halesia carolina,Silverbell,894 18th Ave,,Spring,2007,Councilman Ron Rice's Office,Angelica Nurseries,,Newark,,,
133,Halesia carolina,Silverbell,80 Girard Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
134,Halesia carolina,Silverbell,80 Girard Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
135,Halesia carolina,Silverbell,113 Schofield Pl,,Spring,2007,Ms. McQueen,Angelica Nurseries,,Newark,,,
136,Halesia carolina,Silverbell,206 Weequahic St,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
137,Halesia carolina,Silverbell,126 Midland Place,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
138,Acer campestre,Hedge Maple,95 Vassar Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
139,Halesia carolina,Silverbell,100 Vassar Ave,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
140,Halesia carolina,Silverbell,324 S. 20th Street,,Spring,2007,Resident,Angelica Nurseries,,Newark,,,
141,Halesia carolina,Silverbell,219 Frelinghuysen Ave,,Spring,2007,Ideal Diner,Angelica Nurseries,,Newark,,,
142,Acer campestre,Hedge Maple,219 Frelinghuysen Ave,,Spring,2007,Ideal Diner,Angelica Nurseries,,Newark,,,
143,Acer Rubrum 'Red Sunset',Red Sunset Maple,64 Vassar Ave,Bergen St side,Fall,2007,Nicole,Barton Nursery,,Newark,,,
144,Acer Rubrum 'Red Sunset',Red Sunset Maple,60 Vassar Ave,,Fall,2007,Nathan Zemel,Barton Nursery,,Newark,,,
145,Platanus occidentalis,London planetree,60 Vassar Ave,,Fall,2007,Nathan Zemel,Barton Nursery,,Newark,,,
146,Acer Rubrum 'Red Sunset',Red Sunset Maple,56 Vassar Ave,,Fall,2007,Anthonyette Hunter,Barton Nursery,,Newark,,,
147,Acer Rubrum 'Red Sunset',Red Sunset Maple,56 Vassar Ave,,Fall,2007,Anthonyette Hunter,Barton Nursery,,Newark,,,
148,Acer Rubrum 'Red Sunset',Red Sunset Maple,50 Vassar Ave,,Fall,2007,Ms. Allen,Barton Nursery,,Newark,,,
149,Acer Rubrum 'Red Sunset',Red Sunset Maple,50 Vassar Ave,,Fall,2007,Ms. Allen,Barton Nursery,,Newark,,,
150,Acer Rubrum 'Red Sunset',Red Sunset Maple,44 Vassar Ave,,Fall,2007,Mrs. Jones,Barton Nursery,,Newark,,,
151,Acer Rubrum 'Red Sunset',Red Sunset Maple,28 Vassar Ave,,Fall,2007,Bill,Barton Nursery,,Newark,,,
152,Acer Rubrum 'Red Sunset',Red Sunset Maple,63 Vassar Ave,Bergen St side,Fall,2007,Mrs. Hughes,Barton Nursery,,Newark,,,
153,Acer Rubrum 'Red Sunset',Red Sunset Maple,63 Vassar Ave,Bergen St side,Fall,2007,Mrs. Hughes,Barton Nursery,,Newark,,,
154,Acer Rubrum 'Red Sunset',Red Sunset Maple,55 Vassar Ave,,Fall,2007,Mary Wright,Barton Nursery,,Newark,,,
155,Acer Rubrum 'Red Sunset',Red Sunset Maple,55 Vassar Ave,,Fall,2007,Mary Wright,Barton Nursery,,Newark,,,
156,Acer Rubrum 'Red Sunset',Red Sunset Maple,49 Vassar Ave,in median,Fall,2007,Spencer & Adell,Barton Nursery,,Newark,,,
157,Acer Rubrum 'Red Sunset',Red Sunset Maple,27 Vassar Ave,,Fall,2007,June White,Barton Nursery,,Newark,,,
158,Acer Rubrum 'Red Sunset',Red Sunset Maple,15 Vassar Ave,,Fall,2007,Resident,Barton Nursery,,Newark,,,
159,Acer Rubrum 'Red Sunset',Red Sunset Maple,15 Vassar Ave,in median,Fall,2007,Resident,Barton Nursery,,Newark,,,
160,Acer Rubrum 'Red Sunset',Red Sunset Maple,15 Vassar Ave,in median,Fall,2007,Resident,Barton Nursery,,Newark,,,
161,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,Hawkins street side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
162,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Hawkins side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
163,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Hawkins side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
164,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Hawkins side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
165,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
